slug,nombre,marca,mililitros,precio_inicial,stock_inicial,nota
"erba-pura","Erba Pura","Xerjoff",50,0,0,"Presentación referencial y editable por el administrador"
"erba-pura","Erba Pura","Xerjoff",100,0,0,"Presentación referencial y editable por el administrador"
"torino-21","Torino 21","Xerjoff",50,0,0,"Presentación referencial y editable por el administrador"
"torino-21","Torino 21","Xerjoff",100,0,0,"Presentación referencial y editable por el administrador"
"invictus-victory-elixir","Invictus Victory Elixir","Paco Rabanne",50,0,0,"Presentación referencial y editable por el administrador"
"invictus-victory-elixir","Invictus Victory Elixir","Paco Rabanne",100,0,0,"Presentación referencial y editable por el administrador"
"stronger-with-you-intensely","Stronger With You Intensely","Giorgio Armani",50,0,0,"Presentación referencial y editable por el administrador"
"stronger-with-you-intensely","Stronger With You Intensely","Giorgio Armani",100,0,0,"Presentación referencial y editable por el administrador"
"stronger-with-you-intensely","Stronger With You Intensely","Giorgio Armani",150,0,0,"Presentación referencial y editable por el administrador"
"valentino-uomo-born-in-roma-intense","Valentino Uomo Born in Roma Intense","Valentino",50,0,0,"Presentación referencial y editable por el administrador"
"valentino-uomo-born-in-roma-intense","Valentino Uomo Born in Roma Intense","Valentino",100,0,0,"Presentación referencial y editable por el administrador"
"dior-homme-intense","Dior Homme Intense","Christian Dior",50,0,0,"Presentación referencial y editable por el administrador"
"dior-homme-intense","Dior Homme Intense","Christian Dior",100,0,0,"Presentación referencial y editable por el administrador"
"dior-homme-intense","Dior Homme Intense","Christian Dior",150,0,0,"Presentación referencial y editable por el administrador"
"armani-code-parfum","Armani Code Parfum","Giorgio Armani",50,0,0,"Presentación referencial y editable por el administrador"
"armani-code-parfum","Armani Code Parfum","Giorgio Armani",75,0,0,"Presentación referencial y editable por el administrador"
"armani-code-parfum","Armani Code Parfum","Giorgio Armani",125,0,0,"Presentación referencial y editable por el administrador"
"one-million-elixir","One Million Elixir","Paco Rabanne",50,0,0,"Presentación referencial y editable por el administrador"
"one-million-elixir","One Million Elixir","Paco Rabanne",100,0,0,"Presentación referencial y editable por el administrador"
"one-million-elixir","One Million Elixir","Paco Rabanne",200,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-parfum","Acqua di Giò Parfum","Giorgio Armani",30,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-parfum","Acqua di Giò Parfum","Giorgio Armani",50,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-parfum","Acqua di Giò Parfum","Giorgio Armani",75,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-parfum","Acqua di Giò Parfum","Giorgio Armani",100,0,0,"Presentación referencial y editable por el administrador"
"acqua-di-gio-parfum","Acqua di Giò Parfum","Giorgio Armani",200,0,0,"Presentación referencial y editable por el administrador"
"y-eau-de-parfum","Y Eau de Parfum","Yves Saint Laurent (YSL)",40,0,0,"Presentación referencial y editable por el administrador"
"y-eau-de-parfum","Y Eau de Parfum","Yves Saint Laurent (YSL)",60,0,0,"Presentación referencial y editable por el administrador"
"y-eau-de-parfum","Y Eau de Parfum","Yves Saint Laurent (YSL)",100,0,0,"Presentación referencial y editable por el administrador"
"y-eau-de-parfum","Y Eau de Parfum","Yves Saint Laurent (YSL)",200,0,0,"Presentación referencial y editable por el administrador"
"the-most-wanted-parfum","The Most Wanted Parfum","Azzaro",50,0,0,"Presentación referencial y editable por el administrador"
"the-most-wanted-parfum","The Most Wanted Parfum","Azzaro",100,0,0,"Presentación referencial y editable por el administrador"
"sauvage-eau-de-parfum","Sauvage Eau de Parfum","Christian Dior",30,0,0,"Presentación referencial y editable por el administrador"
"sauvage-eau-de-parfum","Sauvage Eau de Parfum","Christian Dior",60,0,0,"Presentación referencial y editable por el administrador"
"sauvage-eau-de-parfum","Sauvage Eau de Parfum","Christian Dior",100,0,0,"Presentación referencial y editable por el administrador"
"sauvage-eau-de-parfum","Sauvage Eau de Parfum","Christian Dior",200,0,0,"Presentación referencial y editable por el administrador"
"le-male-elixir","Le Male Elixir","Jean Paul Gaultier",75,0,0,"Presentación referencial y editable por el administrador"
"le-male-elixir","Le Male Elixir","Jean Paul Gaultier",125,0,0,"Presentación referencial y editable por el administrador"
"le-male-elixir","Le Male Elixir","Jean Paul Gaultier",200,0,0,"Presentación referencial y editable por el administrador"
"le-beau-le-parfum","Le Beau Le Parfum","Jean Paul Gaultier",75,0,0,"Presentación referencial y editable por el administrador"
"le-beau-le-parfum","Le Beau Le Parfum","Jean Paul Gaultier",125,0,0,"Presentación referencial y editable por el administrador"
"eros-flame-eau-de-parfum","Eros Flame Eau de Parfum","Versace",50,0,0,"Presentación referencial y editable por el administrador"
"eros-flame-eau-de-parfum","Eros Flame Eau de Parfum","Versace",100,0,0,"Presentación referencial y editable por el administrador"
"eros-flame-eau-de-parfum","Eros Flame Eau de Parfum","Versace",200,0,0,"Presentación referencial y editable por el administrador"
"french-riviera","French Riviera","Mancera",60,0,0,"Presentación referencial y editable por el administrador"
"french-riviera","French Riviera","Mancera",120,0,0,"Presentación referencial y editable por el administrador"
"invictus-victory-eau-de-parfum","Invictus Victory Eau de Parfum","Paco Rabanne",50,0,0,"Presentación referencial y editable por el administrador"
"invictus-victory-eau-de-parfum","Invictus Victory Eau de Parfum","Paco Rabanne",100,0,0,"Presentación referencial y editable por el administrador"
"invictus-victory-eau-de-parfum","Invictus Victory Eau de Parfum","Paco Rabanne",200,0,0,"Presentación referencial y editable por el administrador"
"scandal-pour-homme-le-parfum","Scandal Pour Homme Le Parfum","Jean Paul Gaultier",50,0,0,"Presentación referencial y editable por el administrador"
"scandal-pour-homme-le-parfum","Scandal Pour Homme Le Parfum","Jean Paul Gaultier",100,0,0,"Presentación referencial y editable por el administrador"
"scandal-pour-homme-le-parfum","Scandal Pour Homme Le Parfum","Jean Paul Gaultier",150,0,0,"Presentación referencial y editable por el administrador"
"valentino-uomo-born-in-roma-eau-de-toilette","Valentino Uomo Born in Roma Eau de Toilette","Valentino",50,0,0,"Presentación referencial y editable por el administrador"
"valentino-uomo-born-in-roma-eau-de-toilette","Valentino Uomo Born in Roma Eau de Toilette","Valentino",100,0,0,"Presentación referencial y editable por el administrador"
